Date,open,high,low,close,volume,daily_return,volatility,ma_50,ma_200,open_outlier,high_outlier,low_outlier,close_outlier,price_consistency
8/10/2022,236.99,244.54,236.6,244.11,9254760,6.16,3.38,197.9921,380.750175,FALSE,FALSE,FALSE,FALSE,TRUE
8/11/2022,244.68,251.62,241.51,242.7,8780062,-0.58,3.36,198.8973,378.605375,FALSE,FALSE,FALSE,FALSE,TRUE
8/12/2022,244.81,249.41,243.76,249.3,6098531,2.72,3.01,200.0251,376.509275,FALSE,FALSE,FALSE,FALSE,TRUE
8/15/2022,248.11,251.99,247.51,249.11,6527391,-0.08,3.03,200.9055,374.440225,FALSE,FALSE,FALSE,FALSE,TRUE
8/16/2022,247.16,249.29,244.03,245.69,5136806,-1.37,2.91,201.8397,372.298425,FALSE,FALSE,FALSE,FALSE,TRUE
8/17/2022,241.18,244.24,237.56,241.15,5627224,-1.85,2.57,202.7199,370.052625,FALSE,FALSE,FALSE,FALSE,TRUE
8/18/2022,241.96,246.48,239.28,245.17,5280387,1.67,2.5,203.6511,367.872625,FALSE,FALSE,FALSE,FALSE,TRUE
8/19/2022,240.95,243.29,235.68,241.16,7504707,-1.64,2.5,204.4177,365.689825,FALSE,FALSE,FALSE,FALSE,TRUE
8/22/2022,232.55,233.48,224.59,226.54,8630094,-6.06,2.89,205.0931,363.381075,FALSE,FALSE,FALSE,FALSE,TRUE
8/23/2022,226.46,229.9,224.3,224.55,5276945,-0.88,2.85,205.9253,361.161825,FALSE,FALSE,FALSE,FALSE,TRUE
8/24/2022,225.66,234.1,223.94,229.61,5426316,2.25,2.56,207.1237,359.081275,FALSE,FALSE,FALSE,FALSE,TRUE
8/25/2022,230.24,234.16,229,233.98,3766867,1.9,2.59,208.4525,356.993925,FALSE,FALSE,FALSE,FALSE,TRUE
8/26/2022,233.62,236.95,223.15,223.28,5349848,-4.57,2.8,209.3159,354.830375,FALSE,FALSE,FALSE,FALSE,TRUE
8/29/2022,221.93,229.87,221.52,224.57,7096010,0.58,2.8,210.3403,352.718675,FALSE,FALSE,FALSE,FALSE,TRUE
8/30/2022,226.66,229.79,218.74,220.65,5740434,-1.75,2.79,211.2431,350.534025,FALSE,FALSE,FALSE,FALSE,TRUE
8/31/2022,227,233.88,223.43,223.56,8615906,1.32,2.75,212.2961,348.238775,FALSE,FALSE,FALSE,FALSE,TRUE
9/1/2022,220.72,230.37,219.47,230.04,7292917,2.9,2.81,213.3191,345.992325,FALSE,FALSE,FALSE,FALSE,TRUE
9/2/2022,231.03,233.88,225.04,226.11,8164883,-1.71,2.82,214.2071,343.685875,FALSE,FALSE,FALSE,FALSE,TRUE
9/6/2022,225.59,226.85,214.69,218.39,7447153,-3.41,2.83,214.7579,341.319375,FALSE,FALSE,FALSE,FALSE,TRUE
9/7/2022,220.21,229.33,218.27,228.96,8149329,4.84,3.04,215.5543,339.054075,FALSE,FALSE,FALSE,FALSE,TRUE
9/8/2022,224.16,228.74,221.3,227.44,6737436,-0.66,2.67,216.5111,336.797275,FALSE,FALSE,FALSE,FALSE,TRUE
9/9/2022,229.62,234.78,229.62,233.57,6702060,2.7,2.75,217.6153,334.669125,FALSE,FALSE,FALSE,FALSE,TRUE
9/12/2022,233.61,239.49,233.37,236.53,6047425,1.27,2.69,218.8485,332.581475,FALSE,FALSE,FALSE,FALSE,TRUE
9/13/2022,226.5,227.69,217.72,218.13,8000128,-7.78,3.18,219.6121,330.380675,FALSE,FALSE,FALSE,FALSE,TRUE
9/14/2022,219.82,228,215.8,224.12,8230340,2.75,3.26,220.3769,328.173075,FALSE,FALSE,FALSE,FALSE,TRUE
9/15/2022,230.47,242.29,229.1,235.38,19454122,5.02,3.45,221.4033,326.030775,FALSE,FALSE,FALSE,FALSE,TRUE
9/16/2022,231.22,241.36,227.83,240.13,18914177,2.02,3.46,222.4205,324.021925,FALSE,FALSE,FALSE,FALSE,TRUE
9/19/2022,245.05,245.25,235.75,243.63,17912370,1.46,3.46,223.5536,322.151225,FALSE,FALSE,FALSE,FALSE,TRUE
9/20/2022,240.37,250.49,239.66,242.85,16037431,-0.32,3.14,224.8638,320.283125,FALSE,FALSE,FALSE,FALSE,TRUE
9/21/2022,242.67,248.3,236.68,236.87,9166772,-2.46,3.2,226.1122,318.456825,FALSE,FALSE,FALSE,FALSE,TRUE
9/22/2022,235.35,240.5,231.66,237.05,9991482,0.08,3.16,227.322,316.578625,FALSE,FALSE,FALSE,FALSE,TRUE
9/23/2022,235.14,236.45,221.43,226.41,11207228,-4.49,3.3,228.3546,314.582775,FALSE,FALSE,FALSE,FALSE,TRUE
9/26/2022,225.6,232.7,223.01,224.07,8234285,-1.03,3.14,229.0538,312.562725,FALSE,FALSE,FALSE,FALSE,TRUE
9/27/2022,228.63,230.64,220.72,224.36,7762223,0.13,3.14,229.7226,310.629525,FALSE,FALSE,FALSE,FALSE,TRUE
9/28/2022,229.69,246.65,227.38,245.2,17579670,9.29,3.72,230.594,308.797225,FALSE,FALSE,FALSE,FALSE,TRUE
